sequence,date,point_type,event,engine_equity,cash,positions_value,spx_close,spx_benchmark_equity,daily_return_pct,spx_day_return_pct,drawdown_pct,exposure_pct,open_positions_count,pending_orders_count,market_gate_state,spx_regime,settlement_delta_from_last_regular_eod
1,2021-06-11,REGULAR_EOD,EOD_MARK_TO_MARKET,100000.0,100000.0,0.0,4247.44,100000.0,0.0,0.1948,0.0,0.0,0,0,ALLOW,UPTREND,
2,2021-06-14,REGULAR_EOD,EOD_MARK_TO_MARKET,99966.7,66666.67,33300.03,4255.15,100181.521104,-0.0333,0.1815,0.0333,33.31,1,1,ALLOW,UPTREND,
3,2021-06-15,REGULAR_EOD,EOD_MARK_TO_MARKET,99645.03,33344.43,66300.6,4246.59,99979.987946,-0.3218,-0.2012,0.355,66.54,2,1,ALLOW,UPTREND,
4,2021-06-16,REGULAR_EOD,EOD_MARK_TO_MARKET,100655.07,129.42,100525.65,4223.7,99441.075095,1.0136,-0.539,0.0,99.87,3,1,ALLOW,UPTREND,
5,2021-06-17,REGULAR_EOD,EOD_MARK_TO_MARKET,100527.7,129.42,100398.28,4221.86,99397.754883,-0.1265,-0.0436,0.1265,99.87,3,1,ALLOW,UPTREND,
6,2021-06-18,REGULAR_EOD,EOD_MARK_TO_MARKET,99430.16,129.42,99300.74,4166.45,98093.204377,-1.0918,-1.3124,1.2169,99.87,3,0,ALLOW,UPTREND,
7,2021-06-21,REGULAR_EOD,EOD_MARK_TO_MARKET,100854.63,129.42,100725.21,4224.79,99466.737611,1.4326,1.4002,0.0,99.87,3,0,ALLOW,UPTREND,
8,2021-06-22,REGULAR_EOD,EOD_MARK_TO_MARKET,100698.83,129.42,100569.41,4246.44,99976.456407,-0.1545,0.5124,0.1545,99.87,3,0,ALLOW,UPTREND,
9,2021-06-23,REGULAR_EOD,EOD_MARK_TO_MARKET,101044.68,129.42,100915.25,4241.84,99868.155877,0.3434,-0.1083,0.0,99.87,3,0,ALLOW,UPTREND,
10,2021-06-24,REGULAR_EOD,EOD_MARK_TO_MARKET,101469.64,129.42,101340.22,4266.49,100448.505453,0.4206,0.5811,0.0,99.87,3,0,ALLOW,UPTREND,
11,2021-06-25,REGULAR_EOD,EOD_MARK_TO_MARKET,101259.29,129.42,101129.87,4280.7,100783.059914,-0.2073,0.3331,0.2073,99.87,3,0,ALLOW,UPTREND,
12,2021-06-28,REGULAR_EOD,EOD_MARK_TO_MARKET,100871.24,16667.98,84203.27,4290.61,101016.376924,-0.3832,0.2315,0.5897,83.48,3,1,ALLOW,UPTREND,
13,2021-06-29,REGULAR_EOD,EOD_MARK_TO_MARKET,101368.48,16667.98,84700.5,4291.8,101044.3938,0.4929,0.0277,0.0997,83.56,3,0,ALLOW,UPTREND,
14,2021-06-30,REGULAR_EOD,EOD_MARK_TO_MARKET,101032.72,31715.54,69317.18,4297.5,101178.592281,-0.3312,0.1328,0.4306,68.61,3,1,ALLOW,UPTREND,
15,2021-07-01,REGULAR_EOD,EOD_MARK_TO_MARKET,100677.03,31715.54,68961.49,4319.94,101706.910516,-0.3521,0.5222,0.7811,68.5,3,2,ALLOW,UPTREND,
16,2021-07-02,REGULAR_EOD,EOD_MARK_TO_MARKET,101365.14,31715.54,69649.6,4352.34,102469.722939,0.6835,0.75,0.103,68.71,3,1,ALLOW,UPTREND,
17,2021-07-06,REGULAR_EOD,EOD_MARK_TO_MARKET,102550.61,31715.54,70835.07,4343.54,102262.539318,1.1695,-0.2022,0.0,69.07,3,1,ALLOW,UPTREND,
18,2021-07-07,REGULAR_EOD,EOD_MARK_TO_MARKET,102041.9,31715.54,70326.36,4358.13,102606.040344,-0.4961,0.3359,0.4961,68.92,3,1,ALLOW,UPTREND,
19,2021-07-08,REGULAR_EOD,EOD_MARK_TO_MARKET,102052.45,31715.54,70336.91,4320.82,101727.628878,0.0103,-0.8561,0.4858,68.92,3,1,ALLOW,UPTREND,
20,2021-07-09,REGULAR_EOD,EOD_MARK_TO_MARKET,103065.51,31715.54,71349.97,4369.55,102874.90818,0.9927,1.1278,0.0,69.23,3,1,ALLOW,UPTREND,
21,2021-07-12,REGULAR_EOD,EOD_MARK_TO_MARKET,102009.07,31715.54,70293.53,4384.63,103229.945567,-1.025,0.3451,1.025,68.91,3,1,ALLOW,UPTREND,
22,2021-07-13,REGULAR_EOD,EOD_MARK_TO_MARKET,101601.16,31715.54,69885.62,4369.21,102866.903358,-0.3999,-0.3517,1.4208,68.78,3,1,ALLOW,UPTREND,
23,2021-07-14,REGULAR_EOD,EOD_MARK_TO_MARKET,100347.83,31715.54,68632.29,4374.3,102986.740248,-1.2336,0.1165,2.6369,68.39,3,1,ALLOW,UPTREND,
24,2021-07-15,REGULAR_EOD,EOD_MARK_TO_MARKET,99295.28,64205.09,35090.19,4360.03,102650.773172,-1.0489,-0.3262,3.6581,35.34,2,2,ALLOW,UPTREND,
25,2021-07-16,REGULAR_EOD,EOD_MARK_TO_MARKET,99050.54,31106.66,67943.88,4327.16,101876.895259,-0.2465,-0.7539,3.8956,68.6,3,3,ALLOW,UPTREND,
26,2021-07-19,REGULAR_EOD,EOD_MARK_TO_MARKET,102634.86,31106.66,71528.2,4258.49,100260.156706,3.6187,-1.587,0.4178,69.69,3,2,ALLOW,UPTREND,
27,2021-07-20,REGULAR_EOD,EOD_MARK_TO_MARKET,102368.77,31106.66,71262.11,4323.06,101780.366527,-0.2593,1.5163,0.676,69.61,3,2,ALLOW,UPTREND,
28,2021-07-21,REGULAR_EOD,EOD_MARK_TO_MARKET,104446.22,31106.66,73339.56,4358.69,102619.224757,2.0294,0.8242,0.0,70.22,3,1,ALLOW,UPTREND,
29,2021-07-22,REGULAR_EOD,EOD_MARK_TO_MARKET,105760.09,31106.66,74653.43,4367.48,102826.172942,1.2579,0.2017,0.0,70.59,3,0,ALLOW,UPTREND,
30,2021-07-23,REGULAR_EOD,EOD_MARK_TO_MARKET,109637.77,16767.1,92870.67,4411.79,103869.389562,3.6665,1.0145,0.0,84.71,3,1,ALLOW,UPTREND,
31,2021-07-26,REGULAR_EOD,EOD_MARK_TO_MARKET,107823.75,16767.1,91056.65,4422.3,104116.832727,-1.6546,0.2382,1.6546,84.45,3,0,ALLOW,UPTREND,
32,2021-07-27,REGULAR_EOD,EOD_MARK_TO_MARKET,106452.86,167.67,106285.19,4401.46,103626.184243,-1.2714,-0.4712,2.9049,99.84,3,1,ALLOW,UPTREND,
33,2021-07-28,REGULAR_EOD,EOD_MARK_TO_MARKET,110359.54,167.67,110191.87,4400.64,103606.878496,3.6699,-0.0186,0.0,99.85,3,0,ALLOW,UPTREND,
34,2021-07-29,REGULAR_EOD,EOD_MARK_TO_MARKET,110482.95,167.67,110315.28,4419.15,104042.670409,0.1118,0.4206,0.0,99.85,3,0,ALLOW,UPTREND,
35,2021-07-30,REGULAR_EOD,EOD_MARK_TO_MARKET,110817.42,167.67,110649.75,4395.26,103480.213964,0.3027,-0.5406,0.0,99.85,3,1,ALLOW,UPTREND,
